epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,4.34202,3.11031,6.70744,4.84798,2.79158,0,0.09414,0.0303,0.02194,0.00652,0.52469,0.01515,0.01603,0.00164,3.60202,5.09923,3.83,3.40087,0,0.00018,0.00018,0.00018
2,6.58528,2.73803,4.44151,3.50946,2.36206,0,0.05604,0.13636,0.03938,0.01662,0.09568,0.04545,0.02949,0.01282,3.13765,4.56507,7.29259,2.74639,0,0.00036746,0.00036746,0.00036746
3,8.77387,2.42954,3.8765,2.7349,2.06026,0,0.12552,0.06061,0.02976,0.01189,0.12794,0.06061,0.02339,0.00942,3.08479,6.22985,8.73178,2.72144,0,0.00054172,0.00054172,0.00054172
4,10.895,2.26763,3.62267,2.54366,1.97193,0,0.07648,0.15152,0.04179,0.01836,0.04743,0.09091,0.03128,0.01348,3.01282,6.47396,5.15435,2.50531,0,0.00070278,0.00070278,0.00070278
5,13.0416,2.25881,3.50251,2.51037,1.94854,0,0.03648,0.16667,0.02125,0.00483,0.01675,0.15152,0.00569,0.00137,2.69324,5.29789,4.12194,2.36394,0,0.00085064,0.00085064,0.00085064
6,15.2001,2.1775,3.40863,2.34531,1.89008,0,0.0723,0.13636,0.03156,0.00687,0.08347,0.18182,0.02757,0.0051,2.8451,4.17982,4.99112,2.49432,0,0.0009853,0.0009853,0.0009853
7,17.2771,2.13919,3.34819,2.31744,1.86166,0,0.15548,0.18413,0.07727,0.01913,0.12983,0.15152,0.05683,0.0161,2.56864,3.86822,3.36079,2.3292,0,0.00110676,0.00110676,0.00110676
8,19.356,2.08767,3.23375,2.19329,1.78914,0,0.18453,0.25758,0.09464,0.02967,0.18911,0.24242,0.09881,0.02876,2.70572,3.6971,2.39725,2.4419,0,0.00121502,0.00121502,0.00121502
9,21.4616,2.10911,3.30095,2.1145,1.79913,0,0.18058,0.33333,0.10794,0.03527,0.25655,0.27273,0.13009,0.03956,2.52619,3.49203,2.56237,2.32561,0,0.00131008,0.00131008,0.00131008
10,23.5726,2.04121,3.14977,1.98794,1.75863,0,0.21148,0.25758,0.12449,0.03936,0.23103,0.27273,0.13314,0.03081,2.52178,3.80773,2.28395,2.24616,0,0.00139194,0.00139194,0.00139194
11,25.6374,1.94177,3.06754,2.0293,1.73442,0,0.24393,0.28788,0.13231,0.03651,0.2361,0.30303,0.13277,0.03022,2.53317,3.75021,2.19981,2.2629,0,0.00134,0.00134,0.00134
12,27.7317,1.95075,3.08907,1.94353,1.71698,0,0.35312,0.30303,0.20865,0.06083,0.39113,0.31818,0.253,0.06951,2.3599,3.33513,2.25402,2.17933,0,0.001274,0.001274,0.001274
13,29.7871,2.0111,2.94949,1.97387,1.77888,0,0.40626,0.43547,0.32239,0.12039,0.45825,0.37879,0.32348,0.1053,2.27553,3.53977,2.14008,2.01722,0,0.001208,0.001208,0.001208
14,31.9336,1.98587,3.0746,1.92038,1.73312,0,0.27289,0.46631,0.29571,0.10166,0.44485,0.31818,0.3116,0.09685,2.25809,3.33018,2.13167,2.04273,0,0.001142,0.001142,0.001142
15,33.9839,1.86151,2.88096,1.84826,1.66527,0,0.34114,0.51515,0.30098,0.1014,0.51499,0.36364,0.31237,0.09139,2.38274,3.26442,1.93311,2.10475,0,0.001076,0.001076,0.001076
16,36.0332,1.85689,2.93332,1.80037,1.66688,0,0.39305,0.35328,0.31342,0.10656,0.49941,0.37791,0.31999,0.09468,2.3027,3.2907,2.00286,2.00233,0,0.00101,0.00101,0.00101
17,38.0823,1.88748,2.94227,1.79386,1.66152,0,0.377,0.39394,0.34759,0.1308,0.41144,0.42424,0.3043,0.09241,2.19658,3.17316,1.85977,1.94189,0,0.000944,0.000944,0.000944
18,40.1351,1.95733,3.12718,1.87319,1.71319,0,0.42743,0.45455,0.40903,0.14703,0.48268,0.40909,0.41563,0.12692,2.10128,3.17211,1.88409,1.87683,0,0.000878,0.000878,0.000878
19,42.2173,1.79014,2.7953,1.69957,1.61083,0,0.45476,0.40909,0.37958,0.14644,0.46997,0.40909,0.37684,0.11559,2.11807,3.26553,1.91597,1.88128,0,0.000812,0.000812,0.000812
20,44.3001,1.8343,2.90381,1.73945,1.61402,0,0.56284,0.44874,0.49419,0.19901,0.58185,0.46389,0.47671,0.18054,2.06117,3.10035,1.71989,1.83103,0,0.000746,0.000746,0.000746
21,48.0072,1.80058,2.86458,1.83679,1.68849,0,0.50312,0.4697,0.49728,0.20441,0.51935,0.48485,0.49061,0.18402,2.02803,3.05168,1.6538,1.82704,0,0.00068,0.00068,0.00068
