epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,86.7645,2.70787,4.41215,3.50489,2.50662,0,0.16643,0.1554,0.06783,0.02507,0.25295,0.14245,0.08867,0.02587,2.15879,3.28139,224.975,2.05111,0,0.000653333,0.000653333,0.000653333
2,130.314,2.27147,3.3683,2.38717,2.10706,0,0.39842,0.22278,0.19449,0.06787,0.39809,0.22587,0.19819,0.07693,1.91734,2.83689,44.017,1.80237,0,0.00118932,0.00118932,0.00118932
3,189.705,2.06416,3.08894,2.11794,1.94707,0,0.20219,0.24298,0.10727,0.03796,0.28322,0.23376,0.14392,0.04389,1.92618,3.2471,156.587,1.87831,0,0.00159331,0.00159331,0.00159331
4,226.429,2.04574,2.88383,2.01536,1.94264,0,0.38646,0.2162,0.17906,0.05994,0.37783,0.21137,0.16223,0.04737,2.02774,3.81355,32.1812,1.81699,0,0.001406,0.001406,0.001406
5,263.734,1.9666,2.82858,1.88673,1.87453,0,0.51261,0.37862,0.3644,0.16066,0.49419,0.36501,0.34628,0.1333,1.8195,2.69258,57.0427,1.65114,0,0.001208,0.001208,0.001208
6,301.084,1.84978,2.67322,1.7049,1.74874,0,0.43288,0.36216,0.32486,0.13457,0.43357,0.36589,0.32186,0.12056,1.74872,2.7554,48.1973,1.58145,0,0.00101,0.00101,0.00101
7,337.933,1.78739,2.55288,1.58483,1.68754,0,0.51452,0.42918,0.40508,0.17368,0.51093,0.43349,0.40851,0.15258,1.75419,2.54997,22.9513,1.61033,0,0.000812,0.000812,0.000812
8,374.317,1.68532,2.44293,1.43541,1.62152,0,0.6473,0.40364,0.45424,0.1953,0.62987,0.39399,0.45054,0.18027,1.75935,2.43063,21.2566,1.61728,0,0.000614,0.000614,0.000614
9,410.493,1.61393,2.33669,1.34492,1.55951,0,0.63212,0.4439,0.49294,0.21865,0.63952,0.43301,0.47076,0.20078,1.79475,2.50955,6.50512,1.60335,0,0.000416,0.000416,0.000416
10,447.305,1.5484,2.25138,1.23469,1.50695,0,0.75114,0.43745,0.53314,0.23732,0.73275,0.42932,0.51711,0.2155,1.77525,2.46,16.8513,1.63976,0,0.000218,0.000218,0.000218
