epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,6.53922,0.82512,1.73264,2.28712,1.00937,0,1,0.15798,0.85717,0.69516,1,0.15798,0.7086,0.41443,0.62923,2.7016,2.90836,0.88771,0,0.0005,0.0005,0.0005
2,12.1322,0.67006,0.77737,1.25306,0.90361,0,0.99029,0.99973,0.99364,0.841,0.99029,0.99973,0.99364,0.90366,0.61077,0.67666,1.54771,0.83938,0,0.000999804,0.000999804,0.000999804
3,17.1548,0.67634,0.76145,1.0594,0.89213,0,0.99714,0.98039,0.9949,0.8424,0.99714,0.98039,0.9949,0.89897,0.62809,0.71371,1.49042,0.85735,0,0.00147902,0.00147902,0.00147902
4,22.0739,0.68642,0.68561,0.95475,0.88786,0,0.98999,0.9701,0.99365,0.80215,1,0.97967,0.99481,0.87936,0.72425,0.60054,1.27703,0.89442,0,0.0018812,0.0018812,0.0018812
5,27.1902,0.6683,0.70134,0.8973,0.89343,0,0.98005,0.96329,0.99147,0.83785,0.98005,0.96329,0.99147,0.8834,0.61338,0.66438,1.03333,0.85499,0,0.0018416,0.0018416,0.0018416
6,35.2093,0.57367,0.65384,0.77168,0.87213,0,0.99,0.97029,0.99029,0.88852,0.99,0.97029,0.99029,0.92319,0.53614,0.42758,1.22009,0.83277,0,0.001802,0.001802,0.001802
7,44.1365,0.57938,0.69267,0.72663,0.87492,0,0.97917,0.92179,0.97572,0.84471,0.95864,0.90888,0.94818,0.70673,0.57961,1.6921,1.72615,0.84763,0,0.0017624,0.0017624,0.0017624
8,49.0466,0.61237,0.64081,0.71157,0.88006,0,0.99862,1,0.995,0.85457,0.99862,1,0.995,0.89355,0.5277,0.68583,0.81499,0.83597,0,0.0017228,0.0017228,0.0017228
9,53.9166,0.59762,0.60247,0.64989,0.86707,0,0.99935,1,0.995,0.87615,0.99935,1,0.995,0.94245,0.48156,0.389,0.6433,0.82141,0,0.0016832,0.0016832,0.0016832
10,58.8255,0.59741,0.607,0.63278,0.87452,0,0.99963,1,0.995,0.90083,0.99963,1,0.995,0.94694,0.44553,0.37857,0.54844,0.80933,0,0.0016436,0.0016436,0.0016436
11,63.7369,0.50912,0.51108,0.57326,0.8567,0,0.99731,1,0.995,0.91014,0.99731,1,0.995,0.9434,0.41541,0.41235,0.60315,0.81144,0,0.001604,0.001604,0.001604
12,68.8697,0.5346,0.56643,0.55143,0.86044,0,0.96152,0.97987,0.99327,0.92273,0.96152,0.97987,0.99327,0.95397,0.38815,0.40111,0.71546,0.8048,0,0.0015644,0.0015644,0.0015644
13,73.804,0.48993,0.6011,0.52756,0.85901,0,0.99913,1,0.995,0.92962,0.99913,1,0.995,0.97596,0.37059,0.35705,0.57653,0.80337,0,0.0015248,0.0015248,0.0015248
14,78.7332,0.49552,0.54069,0.50393,0.85487,0,0.99902,1,0.995,0.93071,0.99902,1,0.995,0.95994,0.35671,0.37224,0.64219,0.80498,0,0.0014852,0.0014852,0.0014852
15,83.6138,0.48634,0.56054,0.4725,0.84769,0,0.9986,1,0.995,0.93377,0.9986,1,0.995,0.95534,0.38188,0.4037,0.4457,0.80194,0,0.0014456,0.0014456,0.0014456
16,88.453,0.50026,0.59905,0.4836,0.85504,0,0.99913,1,0.995,0.94705,0.99913,1,0.995,0.96222,0.30515,0.37193,0.38168,0.79575,0,0.001406,0.001406,0.001406
17,93.3427,0.46168,0.50699,0.4492,0.84351,0,0.99943,1,0.995,0.92467,0.99943,1,0.995,0.96794,0.36646,0.36668,0.37587,0.79812,0,0.0013664,0.0013664,0.0013664
18,98.3543,0.4436,0.50164,0.42489,0.83718,0,0.99818,1,0.995,0.96601,0.99818,1,0.995,0.97402,0.31017,0.34825,0.37186,0.79489,0,0.0013268,0.0013268,0.0013268
19,103.31,0.42817,0.46841,0.40416,0.83921,0,0.99936,1,0.995,0.9469,0.99936,1,0.995,0.97389,0.32159,0.34371,0.37606,0.79674,0,0.0012872,0.0012872,0.0012872
20,108.178,0.42077,0.44963,0.39363,0.83271,0,0.99937,1,0.995,0.94028,0.99937,1,0.995,0.97106,0.30599,0.3331,0.33327,0.79592,0,0.0012476,0.0012476,0.0012476
21,113.007,0.41055,0.49164,0.37734,0.83737,0,0.99939,1,0.995,0.93313,0.99939,1,0.995,0.95957,0.34571,0.37792,0.36621,0.79483,0,0.001208,0.001208,0.001208
22,117.886,0.42547,0.48009,0.39176,0.84728,0,0.99854,1,0.995,0.96858,0.99854,1,0.995,0.95276,0.27006,0.35946,0.34006,0.79148,0,0.0011684,0.0011684,0.0011684
23,122.722,0.39181,0.49383,0.37909,0.82918,0,0.99929,1,0.995,0.96821,0.99929,1,0.995,0.9638,0.2792,0.35264,0.31864,0.79062,0,0.0011288,0.0011288,0.0011288
24,127.551,0.40002,0.45224,0.39113,0.83449,0,0.99938,1,0.995,0.96736,0.99938,1,0.995,0.96115,0.28394,0.38089,0.30818,0.78627,0,0.0010892,0.0010892,0.0010892
25,132.507,0.38631,0.47879,0.35142,0.83132,0,0.99938,1,0.995,0.98048,0.99938,1,0.995,0.97242,0.25057,0.35885,0.28405,0.78643,0,0.0010496,0.0010496,0.0010496
26,137.51,0.37928,0.45045,0.3455,0.82585,0,0.99946,1,0.995,0.97597,0.99946,1,0.995,0.96924,0.25732,0.34959,0.28756,0.78533,0,0.00101,0.00101,0.00101
27,142.354,0.38776,0.4526,0.34202,0.82282,0,0.99944,1,0.995,0.95049,0.99944,1,0.995,0.95702,0.28611,0.35175,0.30407,0.78905,0,0.0009704,0.0009704,0.0009704
28,147.19,0.36986,0.41648,0.33691,0.82488,0,0.99945,1,0.995,0.97472,0.99945,1,0.995,0.9748,0.25861,0.32998,0.28059,0.78656,0,0.0009308,0.0009308,0.0009308
29,152.031,0.33644,0.43135,0.3221,0.81851,0,0.99936,1,0.995,0.97827,0.99936,1,0.995,0.97234,0.25849,0.32415,0.31029,0.7872,0,0.0008912,0.0008912,0.0008912
